from,to,count
AIGBR1713,AIGBR1655,0
AIGBR1713,AIGBR805,0
AIGBR1713,AIGBR2074,0
AIGBR1713,AIGBR1978,0
AIGBR1713,AIGBR593,0
AIGBR1713,AIGBR1895,0
AIGBR1713,AIGBR185,0
AIGBR1713,AIGBR1113,0
AIGBR1713,AIGBR1514,0
AIGBR1713,AIGBR708,0
AIGBR1713,AIGBR36,0
AIGBR1713,AIGBR1146,0
AIGBR1713,AIGBR1989,0
AIGBR1713,AIGBR2021,0
AIGBR1713,AIGBR799,0
AIGBR1713,AIGBR1765,0
AIGBR1713,AIGBR2032,0
AIGBR1713,AIGBR1252,0
AIGBR1713,AIGBR1059,0
AIGBR1713,AIGBR2025,0
AIGBR1713,AIGBR1179,0
AIGBR1713,AIGBR2242,0
AIGBR1713,AIGBR1924,0
AIGBR1713,AIGBR2121,0
AIGBR1713,AIGBR1449,0
AIGBR1713,AIGBR1501,0
AIGBR1713,AIGBR1938,0
AIGBR1713,AIGBR1060,0
AIGBR1713,AIGBR1005,0
AIGBR1713,AIGBR1407,0
AIGBR1713,AIGBR46,0
AIGBR1713,AIGBR909,0
AIGBR1713,AIGBR889,0
AIGBR1713,AIGBR1383,0
AIGBR1713,AIGBR455,0
AIGBR1713,AIGBR689,0
AIGBR1713,AIGBR829,0
AIGBR1713,AIGBR1767,0
AIGBR1713,AIGBR1851,0
AIGBR1713,AIGBR1142,0
AIGBR1713,AIGBR1208,0
AIGBR1713,AIGBR1360,0
AIGBR1713,AIGBR941,0
AIGBR1713,AIGBR2231,0
AIGBR1713,AIGBR1541,0
AIGBR1713,AIGBR1445,0
AIGBR1713,AIGBR1808,0
AIGBR1713,AIGBR1231,0
AIGBR1713,AIGBR590,0
AIGBR1713,AIGBR506,0
AIGBR1713,AIGBR1074,0
AIGBR1713,AIGBR1719,0
AIGBR1713,AIGBR421,0
AIGBR1713,AIGBR1598,0
AIGBR1713,AIGBR1743,0
AIGBR1713,AIGBR1107,0
AIGBR1713,AIGBR1777,0
AIGBR1713,AIGBR859,0
AIGBR1713,AIGBR2165,0
AIGBR1713,AIGBR2213,0
AIGBR1713,AIGBR1747,0
AIGBR1713,AIGBR1980,0
AIGBR1713,AIGBR40,0
AIGBR1713,AIGBR1710,223
AIGBR1713,AIGBR1197,0
AIGBR1713,AIGBR1770,0
AIGBR1713,AIGBR425,0
AIGBR1713,AIGBR448,0
AIGBR1713,AIGBR158,0
AIGBR1713,AIGBR1659,0
AIGBR1713,AIGBR2049,0
AIGBR1713,AIGBR1887,0
AIGBR1713,AIGBR2240,0
AIGBR1713,AIGBR1161,0
AIGBR1713,AIGBR1953,0
AIGBR1713,AIGBR491,0
AIGBR1713,AIGBR1053,0
AIGBR171,AIGBR461,0
AIGBR171,AIGBR608,0
AIGBR171,AIGBR659,0
AIGBR171,AIGBR1713,0
AIGBR171,AIGBR171,230
AIGBR171,AIGBR1195,0
AIGBR171,AIGBR638,0
AIGBR171,AIGBR321,0
AIGBR171,AIGBR674,0
AIGBR171,AIGBR2243,0
